pref_id,year,pop_total
CHN.10.2_1,2005,7102749.5
CHN.10.3_1,2005,3405979
CHN.10.4_1,2005,8762336
CHN.10.5_1,2005,4318323
CHN.10.6_1,2005,3979243.75
CHN.10.7_1,2005,2889567.75
CHN.10.8_1,2005,9705537
CHN.10.9_1,2005,7394827
CHN.10.10_1,2005,6902286
CHN.10.11_1,2005,4273673
CHN.11.1_1,2005,2529978.5
CHN.11.2_1,2005,322940.6875
CHN.11.3_1,2005,10285853
CHN.11.4_1,2005,1086939.125
CHN.11.5_1,2005,1616265.5
CHN.11.6_1,2005,2575952.25
CHN.11.7_1,2005,1902075.875
CHN.11.8_1,2005,2767032.25
CHN.11.9_1,2005,5541200.5
CHN.11.10_1,2005,855569.8125
CHN.11.11_1,2005,1481218.75
CHN.11.12_1,2005,5619980.5
CHN.11.13_1,2005,1177557.5
CHN.12.1_1,2005,5144178.5
CHN.12.2_1,2005,1475486.75
CHN.12.3_1,2005,3488443
CHN.12.4_1,2005,653686.8125
CHN.12.5_1,2005,4657462
CHN.12.6_1,2005,2345410.75
CHN.12.7_1,2005,6314265
CHN.12.8_1,2005,9959977
CHN.12.9_1,2005,4881830
CHN.12.10_1,2005,3493702
CHN.12.11_1,2005,2224695
CHN.12.12_1,2005,7572484.5
CHN.12.13_1,2005,5576583
CHN.12.14_1,2005,6414295.5
CHN.12.15_1,2005,4208343.5
CHN.12.16_1,2005,7609946
CHN.12.17_1,2005,9327433
CHN.12.18_1,2005,7377744
CHN.13.1_1,2005,3490839
CHN.13.2_1,2005,1727880
CHN.13.3_1,2005,6586253
CHN.13.4_1,2005,2646396.5
CHN.13.5_1,2005,3057105.5
CHN.13.6_1,2005,6489568.5
CHN.13.7_1,2005,1023990.625
CHN.13.8_1,2005,85777.2734375
CHN.13.9_1,2005,3428559.75
CHN.13.10_1,2005,2353071.75
CHN.13.11_1,2005,1619119.25
CHN.13.12_1,2005,10346284
CHN.13.13_1,2005,5804147.5
CHN.13.14_1,2005,2687868
CHN.13.15_1,2005,1237654.5
CHN.13.16_1,2005,4904160
CHN.13.17_1,2005,4256006.5
CHN.14.1_1,2005,6037620.5
CHN.14.2_1,2005,6889270
CHN.14.3_1,2005,4431610.5
CHN.14.4_1,2005,7087920.5
CHN.14.5_1,2005,4743310
CHN.14.6_1,2005,3771804.25
CHN.14.7_1,2005,7580746.5
CHN.14.8_1,2005,2794038.25
CHN.14.9_1,2005,2510667
CHN.14.10_1,2005,4443594
CHN.14.11_1,2005,4761044.5
CHN.14.12_1,2005,5724725
CHN.14.13_1,2005,1509644.25
CHN.14.14_1,2005,3784058.5
CHN.15.1_1,2005,4189262.25
CHN.15.2_1,2005,5203137
CHN.15.3_1,2005,4555336.5
CHN.15.4_1,2005,7406517
CHN.15.5_1,2005,7424809
CHN.15.6_1,2005,4931267.5
CHN.15.7_1,2005,10181262
CHN.15.8_1,2005,4957216
CHN.15.9_1,2005,5862852.5
CHN.15.10_1,2005,8815334
CHN.15.11_1,2005,7632990.5
CHN.15.12_1,2005,4675485.5
CHN.15.13_1,2005,3156337
CHN.16.1_1,2005,3836309.25
CHN.16.2_1,2005,7972367
CHN.16.3_1,2005,4711927.5
CHN.16.4_1,2005,1527287.75
CHN.16.5_1,2005,5126432.5
CHN.16.6_1,2005,5195920.5
CHN.16.7_1,2005,1762550.5
CHN.16.8_1,2005,6460529.5
CHN.16.9_1,2005,1106712
CHN.16.10_1,2005,5233202
CHN.16.11_1,2005,1089954.125
CHN.17.1_1,2005,2071481
CHN.17.2_1,2005,1294140.25
CHN.17.3_1,2005,7439536.5
CHN.17.4_1,2005,4616285.5
CHN.17.5_1,2005,1262814.625
CHN.17.6_1,2005,3342965.5
CHN.17.7_1,2005,2921962.25
CHN.17.8_1,2005,2299061.25
CHN.17.9_1,2005,2260552.25
CHN.18.1_1,2005,3601310.5
CHN.18.2_1,2005,1652279
CHN.18.3_1,2005,3152045
CHN.18.4_1,2005,6325824.5
CHN.18.5_1,2005,2430033
CHN.18.6_1,2005,2201789.5
CHN.18.7_1,2005,1811933.125
CHN.18.8_1,2005,2597665
CHN.18.9_1,2005,3141025
CHN.18.10_1,2005,1868831.375
CHN.18.11_1,2005,1427649.875
CHN.18.12_1,2005,7755584
CHN.18.13_1,2005,5110493
CHN.19.1_1,2005,253428.1875
CHN.19.2_1,2005,2187652.75
CHN.19.3_1,2005,1650663.25
CHN.19.4_1,2005,4384112.5
CHN.19.5_1,2005,2867028.5
CHN.19.6_1,2005,2866543.25
CHN.19.7_1,2005,1740639
CHN.19.8_1,2005,3192236.5
CHN.19.9_1,2005,2200371.25
CHN.19.10_1,2005,426336.6875
CHN.19.11_1,2005,1017750.75
CHN.19.12_1,2005,1526025.5
CHN.20.1_1,2005,1370010.875
CHN.20.2_1,2005,698298
CHN.20.3_1,2005,1136398.875
CHN.20.4_1,2005,1722707.625
CHN.20.5_1,2005,929923
CHN.21.1_1,2005,158127.171875
CHN.21.2_1,2005,316639.78125
CHN.21.3_1,2005,261892.671875
CHN.21.4_1,2005,1423545.125
CHN.21.5_1,2005,415682.875
CHN.21.6_1,2005,405751.1875
CHN.21.7_1,2005,240646.578125
CHN.21.8_1,2005,1978460.875
CHN.22.1_1,2005,2627735.5
CHN.22.2_1,2005,3696274.25
CHN.22.3_1,2005,3433890
CHN.22.4_1,2005,2334885.75
CHN.22.5_1,2005,482115.25
CHN.22.6_1,2005,5304977
CHN.22.7_1,2005,7833963
CHN.22.8_1,2005,5267739.5
CHN.22.9_1,2005,2110860.75
CHN.22.10_1,2005,3345403
CHN.23.1_1,2005,3256486.5
CHN.23.2_1,2005,5419160
