pref_id,pref_name.x,prov_id,prov_name.x,pref_area_km2,pop_start,pop_end,pref_gdp_start,pref_gdp_end,rail_start,rail_end,hsr_start,hsr_end,n_station_hsr_start,n_station_hsr_end,dist_station_start,dist_station_end,dist_hsr_station_start,dist_hsr_station_end,active_zones,n_zones,n_zone_types,sez_area_km2,pop_growth_ann,pref_gdp_growth_ann,rail_km_change,hsr_km_change,hsr_station_gain,station_access_improve_km,hsr_access_improve_km,zone_intensity_v,connectivity_gain_v,pop_growth_v,econ_growth_v,zone_band_v,conn_band_v,pop_band_v,econ_band_v,trajectory_type_v,variant,pref_name.y,prov_name.y
CHN.13.3_1,Huanggang,CHN.13_1,Hubei,23247.823867179224,7041066.5,5408603.5,21241.259302475053,206755.41922178777,388.97167259818127,391.229662451187,0,109.99797578768587,1,3,25.68840529619716,25.68840529619716,61.679173000505855,55.01389611323105,0,0,0,0,-0.01310184982589191,0.12050508573947472,2.2579898530057108,109.99797578768587,2,0,6.665276887274807,0,114.67537274358759,-0.01310184982589191,0.12050508573947472,low,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Huanggang,Hubei
CHN.13.4_1,Huangshi,CHN.13_1,Hubei,6122.96711733785,2672834.5,2569589.75,21241.259302475053,206755.41922178777,355.7156666801066,402.9703665279955,0,104.89125786604025,2,5,7.517303242862495,7.517303242862495,7.533416692348851,7.533416692348851,0,0,0,0,-0.0019677246851145247,0.12050508573947472,47.2546998478889,104.89125786604025,3,0,0,0,125.06766782040692,-0.0019677246851145247,0.12050508573947472,low,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Huangshi,Hubei
CHN.13.5_1,Jingmen,CHN.13_1,Hubei,16882.207663658108,3111610.25,2900132.25,21241.259302475053,206755.41922178777,251.97747060746684,641.6818356584696,0,0,0,0,54.16825468107041,23.944022450839867,96.0055275570704,71.2845719231061,0,1,1,0,-0.0035130157736675827,0.12050508573947472,389.70436505100275,0,0,30.22423223023054,24.720955633964294,0.5,207.58400620599244,-0.0035130157736675827,0.12050508573947472,high,mid,low,mid,Mixed Transitional Pattern,conn_station_heavy,Jingmen,Hubei
CHN.13.6_1,Jingzhou,CHN.13_1,Hubei,18854.794215516136,6807554.5,5626248,21241.259302475053,206755.41922178777,117.51462310020905,230.35798328700128,0,60.99310992878004,1,1,48.20940581964915,35.85222219196406,62.218506317177216,54.3487858774713,0,0,0,0,-0.009484246189664036,0.12050508573947472,112.84336018679222,60.99310992878004,0,12.357183627685089,7.869720439705915,0,131.91766886787298,-0.009484246189664036,0.12050508573947472,low,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Jingzhou,Hubei
CHN.13.7_1,Qianjiang,CHN.13_1,Hubei,2725.7480994628086,1097043.375,832921.8125,21241.259302475053,206755.41922178777,0,6.20876501178301,0,51.00577542198759,0,1,47.872833633533276,22.257999948719476,56.32215801546689,22.257999948719476,0,0,0,0,-0.013677315011082825,0.12050508573947472,6.20876501178301,51.00577542198759,1,25.6148336848138,34.06415806674741,0,131.7129059799639,-0.013677315011082825,0.12050508573947472,low,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Qianjiang,Hubei
CHN.13.8_1,Shennongjia,CHN.13_1,Hubei,4464.212606627556,91519.6640625,70739.8046875,21241.259302475053,206755.41922178777,0,0,0,0,0,0,135.2863250237479,120.57950555991896,143.30443232119302,120.57950555991896,0,0,0,0,-0.012794714397408757,0.12050508573947472,0,0,0,14.70681946382895,22.724926761274062,0,44.12045839148685,-0.012794714397408757,0.12050508573947472,low,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Shennongjia,Hubei
CHN.13.9_1,Shiyan,CHN.13_1,Hubei,33287.30657790964,3465906.5,3319220.25,21241.259302475053,206755.41922178777,353.67968793053825,353.6796879305266,0,86.78502701989551,0,3,38.795069516259744,38.795069516259744,196.93415001809782,59.657051213730945,0,1,1,0,-0.0021598802795829153,0.12050508573947472,-1.1652900866465643e-11,86.78502701989551,3,0,137.2770988043669,0.5,92.78502701989201,-0.0021598802795829153,0.12050508573947472,high,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Shiyan,Hubei
CHN.14.10_1,Yiyang,CHN.14_1,Hunan,15851.68467895246,4439582,4457334,33514.38244975074,356441.14823294786,257.0579672610416,303.93564691709247,0,0,0,0,29.62009445594652,29.62009445594652,66.39894884190116,66.39894884190116,0,1,1,0,1.995499868421291e-4,0.1254801262812395,46.87767965605087,0,0,0,0,0.5,14.063303896815261,1.995499868421291e-4,0.1254801262812395,high,low,low,mid,Mixed Transitional Pattern,conn_station_heavy,Yiyang,Hunan
CHN.14.11_1,Yongzhou,CHN.14_1,Hunan,24922.735774143464,4835026,4546922.5,33514.38244975074,356441.14823294786,98.42847865039893,314.8131986394612,0,72.4966676210569,1,2,90.77070711742839,42.56638399129711,94.88233577567533,94.88233577567533,0,0,0,0,-0.0030670806613152246,0.1254801262812395,216.38471998906226,72.4966676210569,1,48.20432312613128,0,0,284.0250529961694,-0.0030670806613152246,0.1254801262812395,low,mid,low,mid,Mixed Transitional Pattern,conn_station_heavy,Yongzhou,Hunan
CHN.14.12_1,Yueyang,CHN.14_1,Hunan,19478.36845887024,5489275.5,6500500.5,33514.38244975074,356441.14823294786,453.9348382812065,716.0059729767402,0,189.574664589989,0,2,19.683586989380082,6.868495935687247,94.71362984137166,31.039351813595065,0,0,0,0,0.00848998191808703,0.1254801262812395,262.07113469553366,189.574664589989,2,12.815091053692836,63.674278027776595,0,310.64127815972756,0.00848998191808703,0.1254801262812395,low,mid,mid,mid,Mixed Transitional Pattern,conn_station_heavy,Yueyang,Hunan
